Record ID,Employee ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Absenteeism severity
1,11,26,7,3,1,289,36,13,33,"239,554",97,0,1,2,1,0,1,90,172,30,4,0
2,36,0,7,3,1,118,13,18,50,"239,554",97,1,1,1,1,0,0,98,178,31,0,0
3,3,23,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2,0
4,7,7,7,5,1,279,5,14,39,"239,554",97,0,1,2,1,1,0,68,168,24,4,0
5,11,23,7,5,1,289,36,13,33,"239,554",97,0,1,2,1,0,1,90,172,30,2,0
6,3,23,7,6,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2,0
7,10,22,7,6,1,361,52,3,28,"239,554",97,0,1,1,1,0,4,80,172,27,8,1
8,20,23,7,6,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,4,0
9,14,19,7,2,1,155,12,14,34,"239,554",97,0,1,2,1,0,0,95,196,25,40,1
10,1,22,7,2,1,235,11,14,37,"239,554",97,0,3,1,0,0,1,88,172,29,8,1
11,20,1,7,2,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8,1
12,20,1,7,3,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8,1
13,20,11,7,4,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8,1
14,3,11,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,1,0
15,3,23,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,4,0
16,24,14,7,6,1,246,25,16,41,"239,554",97,0,1,0,1,0,0,67,170,23,8,1
17,3,23,7,6,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2,0
18,3,21,7,2,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,8,1
19,6,11,7,5,1,189,29,13,33,"239,554",97,0,1,2,0,0,2,69,167,25,8,1
20,33,23,8,4,1,248,25,14,47,"205,917",92,0,1,2,0,0,1,86,165,32,2,0
21,18,10,8,4,1,330,16,4,28,"205,917",92,0,2,0,0,0,0,84,182,25,8,1
22,3,11,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,1,0
23,10,13,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,40,1
24,20,28,8,6,1,260,50,11,36,"205,917",92,0,1,4,1,0,0,65,168,23,4,0
25,11,18,8,2,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8,1
26,10,25,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,7,0
27,11,23,8,3,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,1,0
28,30,28,8,4,1,157,27,6,29,"205,917",92,0,1,0,1,1,0,75,185,22,4,0
29,11,18,8,4,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8,1
30,3,23,8,6,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,2,0
31,3,18,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,8,1
32,2,18,8,5,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8,1
33,1,23,8,5,1,235,11,14,37,"205,917",92,0,3,1,0,0,1,88,172,29,4,0
34,2,18,8,2,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8,1
35,3,23,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,2,0
36,10,23,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,1,0
37,11,24,8,3,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8,1
38,19,11,8,5,1,291,50,12,32,"205,917",92,0,1,0,1,0,0,65,169,23,4,0
39,2,28,8,6,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8,1
40,20,23,8,6,1,260,50,11,36,"205,917",92,0,1,4,1,0,0,65,168,23,4,0
41,27,23,9,3,1,184,42,7,27,"241,476",92,0,1,0,0,0,0,58,167,21,2,0
42,34,23,9,2,1,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,4,0
43,3,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,4,0
44,5,19,9,3,1,235,20,13,43,"241,476",92,0,1,1,1,0,0,106,167,38,8,1
45,14,23,9,4,1,155,12,14,34,"241,476",92,0,1,2,1,0,0,95,196,25,2,0
46,34,23,9,2,1,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,3,0
47,3,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3,0
48,15,23,9,5,1,291,31,12,40,"241,476",92,0,1,1,1,0,1,73,171,25,4,0
49,20,22,9,6,1,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,8,1
50,15,14,9,2,4,291,31,12,40,"241,476",92,0,1,1,1,0,1,73,171,25,32,1
51,20,0,9,2,4,260,50,11,36,"241,476",92,1,1,4,1,0,0,65,168,23,0,0
52,29,0,9,2,4,225,26,9,28,"241,476",92,1,1,1,0,0,2,69,169,24,0,0
53,28,23,9,3,4,225,26,9,28,"241,476",92,0,1,1,0,0,2,69,169,24,2,0
54,34,23,9,3,4,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,2,0
55,11,0,9,3,4,289,36,13,33,"241,476",92,1,1,2,1,0,1,90,172,30,0,0
56,36,0,9,3,4,118,13,18,50,"241,476",92,1,1,1,1,0,0,98,178,31,0,0
57,28,18,9,4,4,225,26,9,28,"241,476",92,0,1,1,0,0,2,69,169,24,3,0
58,3,23,9,4,4,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3,0
59,13,0,9,4,4,369,17,12,31,"241,476",92,1,1,3,1,0,0,70,169,25,0,0
60,33,23,9,6,4,248,25,14,47,"241,476",92,0,1,2,0,0,1,86,165,32,1,0
61,3,23,9,6,4,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3,0
62,20,23,9,6,4,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,4,0
63,3,23,10,3,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,3,0
64,34,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,3,0
65,36,0,10,4,4,118,13,18,50,"253,465",93,1,1,1,1,0,0,98,178,31,0,0
66,22,23,10,5,4,179,26,9,30,"253,465",93,0,3,0,0,0,0,56,171,19,1,0
67,3,23,10,6,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,3,0
68,28,23,10,6,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,3,0
69,34,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,3,0
70,28,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,2,0
71,33,23,10,4,4,248,25,14,47,"253,465",93,0,1,2,0,0,1,86,165,32,2,0
72,15,23,10,5,4,291,31,12,40,"253,465",93,0,1,1,1,0,1,73,171,25,5,0
73,3,23,10,4,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,8,1
74,28,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,3,0
75,20,19,10,5,4,260,50,11,36,"253,465",93,0,1,4,1,0,0,65,168,23,16,1
76,15,14,10,3,4,291,31,12,40,"253,465",93,0,1,1,1,0,1,73,171,25,8,1
77,28,28,10,3,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,2,0
78,11,26,10,4,4,289,36,13,33,"253,465",93,0,1,2,1,0,1,90,172,30,8,1
79,10,23,10,6,4,361,52,3,28,"253,465",93,0,1,1,1,0,4,80,172,27,1,0
80,20,28,10,6,4,260,50,11,36,"253,465",93,0,1,4,1,0,0,65,168,23,3,0
81,3,23,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,1,0
82,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1,0
83,3,13,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,8,1
84,17,21,11,5,4,179,22,17,40,"306,345",93,0,2,2,0,1,0,63,170,22,8,1
85,15,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,5,0
86,14,10,11,2,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,32,1
87,6,22,11,2,4,189,29,13,33,"306,345",93,0,1,2,0,0,2,69,167,25,8,1
88,15,14,11,2,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,40,1
89,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1,0
90,14,6,11,6,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,8,1
91,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3,0
92,17,21,11,4,4,179,22,17,40,"306,345",93,0,2,2,0,1,0,63,170,22,8,1
93,28,13,11,6,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3,0
94,20,28,11,6,4,260,50,11,36,"306,345",93,0,1,4,1,0,0,65,168,23,4,0
95,33,28,11,2,4,248,25,14,47,"306,345",93,0,1,2,0,0,1,86,165,32,1,0
96,28,28,11,3,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3,0
97,11,7,11,4,4,289,36,13,33,"306,345",93,0,1,2,1,0,1,90,172,30,24,1
98,15,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,3,0
99,33,23,12,3,4,248,25,14,47,"261,306",97,0,1,2,0,0,1,86,165,32,1,0
100,34,19,12,3,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,64,1
101,36,23,12,4,4,118,13,18,50,"261,306",97,0,1,1,1,0,0,98,178,31,2,0
102,1,26,12,4,4,235,11,14,37,"261,306",97,0,3,1,0,0,1,88,172,29,8,1
103,28,23,12,5,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,2,0
104,20,26,12,6,4,260,50,11,36,"261,306",97,0,1,4,1,0,0,65,168,23,8,1
105,34,19,12,3,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,56,1
106,10,22,12,4,4,361,52,3,28,"261,306",97,0,1,1,1,0,4,80,172,27,8,1
107,28,28,12,5,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,3,0
108,20,28,12,6,4,260,50,11,36,"261,306",97,0,1,4,1,0,0,65,168,23,3,0
109,28,23,12,3,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,2,0
110,10,22,12,4,4,361,52,3,28,"261,306",97,0,1,1,1,0,4,80,172,27,8,1
111,34,27,12,6,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,2,0
112,24,19,12,6,2,246,25,16,41,"261,306",97,0,1,0,1,0,0,67,170,23,8,1
113,28,23,12,6,2,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,2,0
114,28,23,1,4,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1,0
115,34,19,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1,0
116,34,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1,0
117,14,18,1,3,2,155,12,14,34,"308,593",95,0,1,2,1,0,0,95,196,25,8,1
118,28,27,1,4,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,2,0
119,27,23,1,5,2,184,42,7,27,"308,593",95,0,1,0,0,0,0,58,167,21,2,0
120,28,28,1,5,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,2,0
